"","sector","protein_len","gene.length..nt.","cog_name","functional_category_desc"
"NA.70","A",NA,NA,NA,NA
"683","O",530,1593,"ATPase components of ABC transporters with duplicated ATPase domains","General function prediction only"
"NA.71","C",NA,NA,NA,NA
"540","C",107,324,"Uncharacterized pentameric protein YbjQ, UPF0145 family","Function unknown"
"1846","A",208,627,"Nicotinamidase-related amidase","Coenzyme transport and metabolism"
"2283","R",586,1761,"Ribosomal protein S12 methylthiotransferase accessory factor YcaO","Translation, ribosomal structure and biogenesis"
"NA.72","U",NA,NA,NA,NA
"NA.73","A",NA,NA,NA,NA
"NA.74","R",NA,NA,NA,NA
"3257","O",184,555,"Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation","Posttranslational modification, protein turnover, chaperones"
"1894","R",173,522,"23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)","Translation, ribosomal structure and biogenesis"
"3120","O",215,648,"Uncharacterized conserved protein YceH, UPF0502 family","Function unknown"
"2692","A",191,576,"Polyisoprenoid-binding periplasmic protein YceI","General function prediction only"
"NA.75","U",NA,NA,NA,NA
"NA.76","A",NA,NA,NA,NA
"NA.77","R",NA,NA,NA,NA
"3139","O",180,543,"Predicted esterase YcpF, UPF0227 family","General function prediction only"
"NA.78","A",NA,NA,NA,NA
"3068","R",108,327,"Uncharacterized conserved protein YcgL, UPF0745 family","Function unknown"
"3732","C",244,735,"Cyclic di-GMP-binding flagellar brake protein FlgZ/YcgR, contains PilZNR(YcgR) and PilZ domains","Cell motility"
"2015","S",117,354,"Sulfur relay (sulfurtransferase) complex TusBCD TusD component, DsrE family","Inorganic ion transport and metabolism"
"1463","A",252,759,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family","Lipid transport and metabolism"
"1856","R",249,750,"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family","Transcription"
"1911","A",266,801,"Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family","Cell wall/membrane/envelope biogenesis"
"NA.79","S",NA,NA,NA,NA
"NA.80","C",NA,NA,NA,NA
"3094","C",560,1683,"Arylsulfatase A or related enzyme, AlkP superfamily","Inorganic ion transport and metabolism"
"3529","S",248,747,"NADP-dependent 3-hydroxy acid dehydrogenase YdfG","Energy production and conversion"
"3686","O",502,1509,"Uncharacterized conserved protein YdgA, DUF945 family","Function unknown"
"NA.81","S",NA,NA,NA,NA
"NA.82","C",NA,NA,NA,NA
"332","U",1018,3057,"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF","Energy production and conversion"
"1273","R",183,552,"Nitroreductase","Energy production and conversion"
"NA.83","O",NA,NA,NA,NA
"1106","U",294,885,"D-hexose-6-phosphate mutarotase","Carbohydrate transport and metabolism"
"2759","A",644,1935,"Predicted Ser/Thr protein kinase","Signal transduction mechanisms"
"279","R",246,741,"Transcriptional and/or translational regulatory protein YebC/TACO1","Transcription"
"NA.84","C",NA,NA,NA,NA
"NA.85","C",NA,NA,NA,NA
"NA.86","C",NA,NA,NA,NA
"NA.87","U",NA,NA,NA,NA
"NA.88","U",NA,NA,NA,NA
"2710","C",401,1206,"Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains","General function prediction only"
"580","C",77,234,"Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)","Translation, ribosomal structure and biogenesis"
"2901","O",109,330,"Uncharacterized conserved protein YeeX, DUF496 family","Function unknown"
"633","O",274,825,"Nucleoside-diphosphate-sugar epimerase","Cell wall/membrane/envelope biogenesis"
"1348","R",453,1362,"23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family","Translation, ribosomal structure and biogenesis"
"295","R",190,573,"Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)","Translation, ribosomal structure and biogenesis"
"3048","A",75,228,"Uncharacterized conserved protein YejL, UPF0352 family","Function unknown"
"NA.89","U",NA,NA,NA,NA
"1015","A",216,651,"Beta-phosphoglucomutase, HAD superfamily","Carbohydrate transport and metabolism"
"2970","S",164,495,"Uncharacterized conserved protein YfbU, UPF0304 family","Function unknown"
"NA.90","O",NA,NA,NA,NA
"1918","A",180,543,"Isopentenyldiphosphate isomerase","Lipid transport and metabolism"
"NA.91","A",NA,NA,NA,NA
"3372","U",94,285,"Uncharacterized conserved protein YfcZ, UPF0381/DUF406 family","Function unknown"
"653","U",306,921,"Glycosyltransferase involved in cell wall bisynthesis","Cell wall/membrane/envelope biogenesis"
"NA.92","U",NA,NA,NA,NA
"2838","A",299,900,"Periplasmic deferrochelatase/peroxidase EfeB","Inorganic ion transport and metabolism"
"NA.93","A",NA,NA,NA,NA
"NA.94","S",NA,NA,NA,NA
"1886","C",119,360,"Arsenate reductase or related protein, glutaredoxin family","Inorganic ion transport and metabolism"
"NA.95","O",NA,NA,NA,NA
"2939","A",206,621,"Putative negative regulator of RcsB-dependent stress response, UPF0070 family","Signal transduction mechanisms"
"833","O",345,1038,"tRNA G18 (ribose-2'-O)-methylase SpoU","Translation, ribosomal structure and biogenesis"
"NA.96","A",NA,NA,NA,NA
"NA.97","A",NA,NA,NA,NA
"2089","A",149,450,"Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain","Inorganic ion transport and metabolism"
"2070","S",454,1365,"Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family","Nucleotide transport and metabolism"
"NA.98","R",NA,NA,NA,NA
"3045","O",192,579,"Uncharacterized conserved protein YgfB, UPF0149 family","Function unknown"
"NA.99","O",NA,NA,NA,NA
"488","S",326,981,"Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters","Posttranslational modification, protein turnover, chaperones"
"2934","A",246,741,"Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain","Function unknown"
"3159","A",108,327,"Uncharacterized conserved protein YggL, DUF469 family","Function unknown"
"449","R",234,705,"Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family","Coenzyme transport and metabolism"
"2899","A",91,276,"Fe-S cluster biosynthesis and repair protein YggX","Inorganic ion transport and metabolism"
"991","C",288,867,"Glutathione S-transferase","Posttranslational modification, protein turnover, chaperones"
"1086","C",346,1041,"Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family","Coenzyme transport and metabolism"
"1231","C",386,1161,"Glutathionylspermidine synthase, CHAP domain","Amino acid transport and metabolism"
"2978","O",433,1302,"Inorganic triphosphatase YgiF, contains CYTH and CHAD domains","Inorganic ion transport and metabolism"
"3071","S",206,621,"Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family","General function prediction only"
"3083","A",130,393,"Predicted periplasmic protein YdeI with OB-fold, BOF family","Function unknown"
"NA.100","A",NA,NA,NA,NA
"NA.101","O",NA,NA,NA,NA
"3145","S",167,504,"Predicted N-acetyltransferase YhbS","General function prediction only"
"2000","O",97,294,"RNA-binding protein YhbY","Translation, ribosomal structure and biogenesis"
"NA.102","U",NA,NA,NA,NA
"3076","O",132,399,"Uncharacterized membrane-anchored protein YhcB, DUF1043 family","Function unknown"
"NA.103","R",NA,NA,NA,NA
"2168","A",134,405,"Uncharacterized OsmC-related protein","General function prediction only"
"2463","U",773,2322,"Transcriptional accessory protein Tex/SPT6","Transcription"
"NA.104","C",NA,NA,NA,NA
"NA.105","U",NA,NA,NA,NA
"967","O",498,1497,"Predicted Zn-dependent peptidase, M16 family","General function prediction only"
"NA.106","O",NA,NA,NA,NA
"NA.107","O",NA,NA,NA,NA
"957","R",143,432,"Rhodanese-related sulfurtransferase","Inorganic ion transport and metabolism"
"2025","S",287,864,"Uncharacterized stationary-phase protein YicC, UPF0701 family","Function unknown"
"NA.108","U",NA,NA,NA,NA
"823","A",270,813,"Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases","Coenzyme transport and metabolism"
"589","A",188,567,"NAD(P)H-dependent FMN reductase","Energy production and conversion"
"3051","O",112,339,"Uncharacterized conserved protein YifE, UPF0438 family","Function unknown"
"3729","O",67,204,"Small periplasmic lipoprotein YifL (function unknown)","Function unknown"
"3050","A",89,270,"Uncharacterized conserved protein YihD, DUF1040 family","Function unknown"
"3044","U",169,510,"Ribosome assembly protein YihI, activator of Der GTPase","Translation, ribosomal structure and biogenesis"
"NA.109","U",NA,NA,NA,NA
"NA.110","U",NA,NA,NA,NA
"NA.111","R",NA,NA,NA,NA
"3155","C",104,315,"Uncharacterized membrane protein, DUF485 family","Function unknown"
"NA.112","C",NA,NA,NA,NA
"NA.113","U",NA,NA,NA,NA
"NA.114","S",NA,NA,NA,NA
"2981","O",183,552,"Ribosomal 50S subunit-associated protein YjgA, DUF615 family","Translation, ribosomal structure and biogenesis"
"NA.115","R",NA,NA,NA,NA
"NA.116","C",NA,NA,NA,NA
"1103","A",372,1119,"Predicted dehydrogenase","General function prediction only"
"747","A",318,957,"Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family","General function prediction only"
"NA.117","U",NA,NA,NA,NA
"NA.118","U",NA,NA,NA,NA
"NA.119","U",NA,NA,NA,NA
"NA.120","A",NA,NA,NA,NA
"3262","S",353,1062,"DNA-binding beta-propeller fold protein YncE","General function prediction only"
"NA.121","O",NA,NA,NA,NA
"1014","A",222,669,"Beta-phosphoglucomutase, HAD superfamily","Carbohydrate transport and metabolism"
"341","A",114,345,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family","Defense mechanisms"
"NA.122","O",NA,NA,NA,NA
"234","C",393,1182,"Acetyl-CoA acetyltransferase","Lipid transport and metabolism"
"2111","A",187,564,"Putative transcriptional regulator, AlgH/UPF0301 family","Transcription"
"2324","A",387,1164,"Alcohol dehydrogenase YqhD, Fe-dependent ADH family","Energy production and conversion"
"3566","S",101,306,"Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family","Translation, ribosomal structure and biogenesis"
"2121","R",207,624,"DNA-binding transcriptional regulator, PadR family","Transcription"
"NA.123","A",NA,NA,NA,NA
"NA.124","O",NA,NA,NA,NA
"2824","O",191,576,"Osmotically-inducible protein OsmY, contains BON domain","Cell wall/membrane/envelope biogenesis"
"NA.125","O",NA,NA,NA,NA
"NA.126","A",NA,NA,NA,NA
"NA.127","O",NA,NA,NA,NA
"NA.128","O",NA,NA,NA,NA
"567","S",271,816,"Dienelactone hydrolase","Secondary metabolites biosynthesis, transport and catabolism"
"2409","A",113,342,"Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family","Amino acid transport and metabolism"
"2234","S",318,957,"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain","Carbohydrate transport and metabolism"
"NA.129","C",NA,NA,NA,NA
"NA.130","C",NA,NA,NA,NA
"2980","U",109,330,"Cell division protein ZapA, inhibits GTPase activity of FtsZ","Cell cycle control, cell division, chromosome partitioning"
"3039","O",81,246,"Cell division protein ZapB, interacts with FtsZ","Cell cycle control, cell division, chromosome partitioning"
"3087","O",328,987,"Cell division protein ZipA, interacts with FtsZ","Cell cycle control, cell division, chromosome partitioning"
"500","A",491,1476,"Glucose-6-phosphate 1-dehydrogenase","Carbohydrate transport and metabolism"
