"","gene","locus","gene.length..nt."
"2942","yagN","b0280",441
"2943","yagP","b0282",411
"2944","yagU","b0287",615
"2945","yahB","b0316",933
"2946","yahC","b0317",498
"2947","yahD","b0318",606
"2948","yahE","b0319",864
"2949","yahF","b0320",1548
"2950","yahG","b0321",1419
"2951","yahH","b0322",297
"2952","yahI","b0323",951
"2953","yahJ","b0324",1383
"2954","yahK","b0325",1050
"2955","yahL","b0326",816
"2956","yahM","b0327",246
"2957","yahN","b0328",672
"2958","yahO","b0329",276
"2959","yaiA","b0389",192
"2960","yaiE","b0391",285
"2961","yaiF","b0362",387
"2962","yaiI","b0387",459
"2963","yaiL","b0354",540
"2964","yaiO","b0358",774
"2965","yaiP","b0363",1197
"2966","yaiS","b0364",558
"2967","yaiT","b0371",1461
"2968","yaiU","b0374",1404
"2969","yaiV","b0375",669
"2970","yaiW","b0378",1095
"2971","yaiX","b0359",216
"2972","yaiY","b0379",309
"2973","yaiZ","b0380",213
"2974","yajC","b0407",333
"2975","yajD","b0410",348
"2976","yajG","b0434",579
"2977","yajI","b0412",540
"2978","yajL","b0424",591
"2979","yajO","b0419",975
"2980","yajQ","b0426",492
"2981","yajR","b0427",1365
"2982","ybaA","b0456",354
"2983","ybaB","b0471",330
"2984","ybaE","b0445",1701
"2985","ybaK","b0481",480
"2986","ybaL","b0478",1677
"2987","ybaM","b0466",162
"2988","ybaN","b0468",378
"2989","ybaO","b0447",459
"2990","ybaP","b0482",795
"2991","ybaQ","b0483",342
"2992","ybaS","b0485",933
"2993","ybaT","b0486",1293
"2994","ybaV","b0442",372
"2995","ybaY","b0453",573
"2996","ybbA","b0495",687
"2997","ybbB","b0503",1095
"2998","ybbC","b0498",369
"2999","ybbD","b0500",261
"3000","ybbJ","b0488",459
"3001","ybbN","b0492",855
"3002","ybbO","b0493",810
"3003","ybbP","b0496",2415
"3004","ybbW","b0511",1455
"3005","ybbY","b0513",1302
"3006","ybcC","b0539",264
"3007","ybcD","b4508",237
"3008","ybcF","b0521",894
"3009","ybcH","b0567",891
"3010","ybcI","b0527",522
"3011","ybcJ","b0528",213
"3012","ybcK","b0544",1527
"3013","ybcL","b0545",552
"3014","ybcM","b0546",798
"3015","ybcN","b0547",456
"3016","ybcO","b0549",291
"3017","ybcQ","b0551",384
"3018","ybcV","b0558",411
"3019","ybcW","b0559",207
"3020","ybcY","b0562",585
"3021","ybdD","b4512",198
"3022","ybdF","b0579",369
"3023","ybdG","b0577",1248
"3024","ybdH","b0599",1089
"3025","ybdJ","b0580",249
"3026","ybdK","b0581",1119
"3027","ybdL","b0600",1161
"3028","ybdM","b0601",630
"3029","ybdN","b0602",1221
"3030","ybdO","b0603",903
"3031","ybdR","b0608",1239
"3032","ybdZ","b4511",219
"3033","ybeD","b0631",264
"3034","ybeF","b0629",954
"3035","ybeL","b0643",483
"3036","ybeM_1","b0625",228
"3037","ybeM_2","b0626",564
"3038","ybeQ","b0644",978
"3039","ybeR","b0645",708
"3040","ybeT","b0647",555
"3041","ybeU","b0648",708
"3042","ybeX","b0658",879
"3043","ybeY","b0659",468
"3044","ybeZ","b0660",1080
"3045","ybfA","b0699",207
"3046","ybfB","b0702",327
"3047","ybfC","b0704",570
"3048","ybfD","b0706",762
"3049","ybfE","b0685",294
"3050","ybfF","b0686",765
"3051","ybfG","b0690",411
"3052","ybfH","b0691",210
"3053","ybfK","b4590",258
"3054","ybfL","b0705",1062
"3055","ybfN","b0682",327
"3056","ybfO","b0703",1434
"3057","ybfP","b0689",495
"3058","ybfQ","b4514",255
"3059","ybgA","b0707",510
"3060","ybgC","b0736",405
"3061","ybgD","b0719",567
"3062","ybgE","b0735",294
"3063","ybgI","b0710",744
"3064","ybgJ","b0711",657
"3065","ybgK","b0712",933
"3066","ybgL","b0713",735
"3067","ybgO","b0716",1062
"3068","ybgP","b0717",729
"3069","ybgQ","b0718",2448
"3070","ybgS","b0753",381
"3071","ybhA","b0766",819
"3072","ybhB","b0773",477
"3073","ybhC","b0772",1284
"3074","ybhD","b0768",1017
"3075","ybhF","b0794",1737
"3076","ybhG","b0795",999
"3077","ybhH","b0769",1053
"3078","ybhI","b0770",1434
"3079","ybhJ","b0771",2262
"3080","ybhK","b0780",909
"3081","ybhL","b0786",705
"3082","ybhM","b0787",714
"3083","ybhN","b0788",957
"3084","ybhP","b0790",762
"3085","ybhQ","b0791",411
"3086","ybhR","b0792",1107
"3087","ybhS","b0793",1134
"3088","ybiA","b0798",483
"3089","ybiB","b0800",963
"3090","ybiC","b0801",1086
"3091","ybiH","b0796",672
"3092","ybiI","b0803",267
"3093","ybiJ","b0802",261
"3094","ybiO","b0808",2226
"3095","ybiR","b0818",1119
"3096","ybiT","b0820",1593
"3097","ybiU","b0821",1266
"3098","ybiV","b0822",816
"3099","ybiW","b0823",2433
"3100","ybiX","b0804",678
"3101","ybiY","b0824",927
"3102","ybjC","b0850",288
"3103","ybjD","b0876",1659
"3104","ybjG","b0841",597
"3105","ybjH","b0843",285
"3106","ybjI","b0844",816
"3107","ybjJ","b0845",1209
"3108","ybjL","b0847",1686
"3109","ybjM","b0848",378
"3110","ybjN","b0853",477
"3111","ybjO","b0858",489
"3112","ybjP","b0865",516
"3113","ybjQ","b0866",324
"3114","ybjS","b0868",1014
"3115","ybjT","b0869",1431
"3116","ybjX","b0877",957
"3117","ycaC","b0897",627
"3118","ycaD","b0898",1149
"3119","ycaI","b0913",2265
"3120","ycaK","b0901",591
"3121","ycaL","b0909",765
"3122","ycaM","b0899",1431
"3123","ycaN","b0900",909
"3124","ycaO","b0905",1761
"3125","ycaP","b0906",693
"3126","ycaQ","b0916",1233
"3127","ycaR","b0917",183
"3128","ycbF","b0944",711
"3129","ycbJ","b0919",894
"3130","ycbK","b0926",549
"3131","ycbU","b0942",543
"3132","ycbV","b0943",516
"3133","ycbX","b0947",1110
"3134","ycbZ","b0955",1761
"3135","yccA","b0970",660
"3136","yccE","b1001",1257
"3137","yccF","b0961",447
"3138","yccJ","b1003",228
"3139","yccM","b0992",1074
"3140","yccS","b0960",2154
"3141","yccT","b0964",663
"3142","yccU","b0965",414
"3143","yccX","b0968",279
"3144","ycdU","b1029",987
"3145","ycdX","b1034",738
"3146","ycdY","b1035",555
"3147","ycdZ","b1036",492
"3148","yceA","b1055",1053
"3149","yceB","b1063",561
"3150","yceD","b1088",522
"3151","yceF","b1087",585
"3152","yceH","b1067",648
"3153","yceI","b1056",576
"3154","yceJ","b1057",567
"3155","yceK","b1050",228
"3156","yceM","b1068",924
"3157","yceO","b1058",141
"3158","yceQ","b1085",321
"3159","ycfH","b1100",798
"3160","ycfJ","b1110",540
"3161","ycfK","b1154",630
"3162","ycfL","b1104",378
"3163","ycfP","b1108",543
"3164","ycfT","b1115",1074
"3165","ycfZ","b1121",789
"3166","ycgB","b1188",1533
"3167","ycgH_1","b1169",321
"3168","ycgH_2","b1170",1017
"3169","ycgI","b1173",213
"3170","ycgJ","b1177",369
"3171","ycgL","b1179",327
"3172","ycgM","b1180",660
"3173","ycgN","b1181",447
"3174","ycgR","b1194",735
"3175","ycgV","b1202",2868
"3176","ycgX","b1161",405
"3177","ycgY","b1196",441
"3178","ycgZ","b1164",237
"3179","ychA","b1214",810
"3180","ychE","b1242",648
"3181","ychE_1","b3217",480
"3182","ychF","b1203",1092
"3183","ychG_1","b1240",231
"3184","ychG_2","b1239",591
"3185","ychH","b1205",279
"3186","ychJ","b1233",459
"3187","ychN","b1219",354
"3188","ychO","b1220",1254
"3189","ychQ","b1213",393
"3190","ychS","b1228",276
"3191","yciA","b1253",399
"3192","yciB","b1254",540
"3193","yciC","b1255",744
"3194","yciE","b1257",507
"3195","yciF","b1258",501
"3196","yciG","b1259",180
"3197","yciH","b1282",327
"3198","yciI","b1251",297
"3199","yciK","b1271",759
"3200","yciN","b1273",252
"3201","yciO","b1267",621
"3202","yciQ","b1268",1896
"3203","yciT","b1284",750
"3204","yciU","b1248",330
"3205","yciV","b1266",882
"3206","yciW","b1287",1128
"3207","yciX","b4523",168
"3208","yciY","b4595",174
"3209","yciZ","b4596",174
"3210","ycjD","b1289",354
"3211","ycjF","b1322",1062
"3212","ycjG","b1325",966
"3213","ycjM","b1309",1680
"3214","ycjN","b1310",1293
"3215","ycjO","b1311",882
"3216","ycjP","b1312",843
"3217","ycjQ","b1313",1053
"3218","ycjR","b1314",789
"3219","ycjS","b1315",1056
"3220","ycjT","b1316",2268
"3221","ycjU","b1317",660
"3222","ycjV","b1318",969
"3223","ycjW","b1320",999
"3224","ycjX","b1321",1398
"3225","ycjY","b1327",933
"3226","ydaC","b1347",210
"3227","ydaE","b4526",171
"3228","ydaF","b4527",156
"3229","ydaG","b1355",135
"3230","ydaN","b1342",984
"3231","ydaS","b1357",297
"3232","ydaT","b1358",423
"3233","ydaU","b1359",858
"3234","ydaV","b1360",747
"3235","ydaW","b1361",561
"3236","ydaY","b1366",360
"3237","ydbA_1","b1401",2559
"3238","ydbA_2","b1405",3324
"3239","ydbC","b1406",861
"3240","ydbD","b1407",2307
"3241","ydbH","b1381",2640
"3242","ydbJ","b4529",267
"3243","ydbK","b1378",3525
"3244","ydbL","b1383",327
"3245","ydcA","b1419",174
"3246","ydcC","b1460",1137
"3247","ydcD","b1457",483
"3248","ydcF","b1414",801
"3249","ydcH","b1426",225
"3250","ydcI","b1422",924
"3251","ydcJ","b1423",1344
"3252","ydcK","b1428",981
"3253","ydcL","b1431",669
"3254","ydcM","b1432",1209
"3255","ydcO","b1433",1176
"3256","ydcP","b1435",1962
"3257","ydcR","b1439",1407
"3258","ydcS","b1440",1146
"3259","ydcT","b1441",1014
"3260","ydcU","b1442",942
"3261","ydcV","b1443",795
"3262","ydcY","b1446",234
"3263","ydcZ","b1447",450
"3264","yddA","b1496",1686
"3265","yddB","b1495",2373
"3266","yddE","b1464",894
"3267","yddG","b1473",882
"3268","yddH","b1462",570
"3269","yddJ","b1470",336
"3270","yddK","b1471",957
"3271","yddL","b1472",291
"3272","yddM","b1477",363
"3273","yddW","b1491",1320
"3274","ydeA","b1528",1191
"3275","ydeE","b1534",1188
"3276","ydeI","b1536",393
"3277","ydeJ","b1537",519
"3278","ydeK","b1510",3978
"3279","ydeM","b1497",1158
"3280","ydeN","b1498",1683
"3281","ydeO","b1499",762
"3282","ydeP","b1501",2280
"3283","ydeQ","b1502",915
"3284","ydeR","b1503",504
"3285","ydeS","b1504",531
"3286","ydeT","b1505",1149
"3287","ydeU","b1509",1401
"3288","ydfA","b1571",156
"3289","ydfB","b1572",129
"3290","ydfC","b1573",219
"3291","ydfD","b1576",192
"3292","ydfE","b1577",921
"3293","ydfG","b1539",747
"3294","ydfH","b1540",687
"3295","ydfI","b1542",1461
"3296","ydfJ","b1543",1284
"3297","ydfK","b1544",234
"3298","ydfN","b1547",963
"3299","ydfO","b1549",411
"3300","ydfP","b1553",498
"3301","ydfR","b1555",312
"3302","ydfT","b1559",753
"3303","ydfU","b1560",1050
"3304","ydfV","b1565",306
"3305","ydfW","b1567",150
"3306","ydfX","b1568",291
"3307","ydfZ","b1541",204
"3308","ydgA","b1614",1509
"3309","ydgC","b1607",336
"3310","ydgD","b1598",822
"3311","ydgH","b1604",945
"3312","ydgI","b1605",1383
"3313","ydgJ","b1624",1041
"3314","ydgK","b1626",441
"3315","ydgU","b4601",84
"3316","ydhB","b1659",933
"3317","ydhC","b1660",1212
"3318","ydhF","b1647",897
"3319","ydhI","b1643",237
"3320","ydhJ","b1644",858
"3321","ydhK","b1645",2013
"3322","ydhL","b1648",240
"3323","ydhP","b1657",1170
"3324","ydhQ","b1664",1257
"3325","ydhR","b1667",306
"3326","ydhS","b1668",1605
"3327","ydhT","b1669",813
"3328","ydhU","b1670",786
"3329","ydhV","b1673",2103
"3330","ydhW","b1672",648
"3331","ydhX","b1671",720
"3332","ydhY","b1674",627
"3333","ydhZ","b1675",210
"3334","ydiB","b1692",867
"3335","ydiE","b1705",192
"3336","ydiF","b1694",1596
"3337","ydiH","b1685",270
"3338","ydiJ","b1687",3057
"3339","ydiK","b1688",1113
"3340","ydiL","b1689",357
"3341","ydiM","b1690",1215
"3342","ydiN","b1691",1266
"3343","ydiO","b1695",1152
"3344","ydiP","b1696",912
"3345","ydiQ","b1697",765
"3346","ydiR","b1698",939
"3347","ydiS","b1699",1290
"3348","ydiT","b1700",294
"3349","ydiU","b1706",1437
"3350","ydiV","b1707",714
"3351","ydiY","b1722",759
"3352","ydiZ","b1724",291
"3353","ydjA","b1765",552
"3354","ydjE","b1769",1359
"3355","ydjF","b1770",759
"3356","ydjG","b1771",981
"3357","ydjH","b1772",948
"3358","ydjI","b1773",837
"3359","ydjJ","b1774",1044
"3360","ydjK","b1775",1380
"3361","ydjL","b1776",1077
"3362","ydjM","b1728",591
"3363","ydjO","b1730",816
"3364","ydjX","b1750",711
"3365","ydjY","b1751",678
"3366","ydjZ","b1752",708
"3367","yeaC","b1777",273
"3368","yeaD","b1780",885
"3369","yeaE","b1781",855
"3370","yeaG","b1783",1935
"3371","yeaH","b1784",1284
"3372","yeaK","b1787",504
"3373","yeaL","b1789",447
"3374","yeaO","b1792",348
"3375","yeaQ","b1795",249
"3376","yeaR","b1797",360
"3377","yeaV","b1801",1446
"3378","yeaW","b1802",1125
"3379","yeaX","b1803",966
"3380","yeaY","b1806",582
"3381","yebB","b1862",603
"3382","yebC","b1864",741
"3383","yebE","b1846",660
"3384","yebF","b1847",357
"3385","yebG","b1848",291
"3386","yebK","b1853",870
"3387","yebO","b1825",288
"3388","yebQ","b1828",1374
"3389","yebS","b1833",1284
"3390","yebT","b1834",2634
"3391","yebV","b1836",237
"3392","yebW","b1837",192
"3393","yebY","b1839",342
"3394","yebZ","b1840",873
"3395","yecA","b1908",666
"3396","yecD","b1867",567
"3397","yecE","b1868",819
"3398","yecF","b1915",225
"3399","yecH","b1906",240
"3400","yecJ","b4537",252
"3401","yecM","b1875",567
"3402","yecN","b1869",396
"3403","yecR","b1904",324
"3404","yecT","b1877",489
"3405","yedA","b1959",921
"3406","yedD","b1928",414
"3407","yedE","b1929",1206
"3408","yedF","b1930",234
"3409","yedI","b1958",918
"3410","yedJ","b1962",696
"3411","yedK","b1931",669
"3412","yedL","b1932",480
"3413","yedM","b1935",351
"3414","yedN_1","b1934",321
"3415","yedN_2","b1933",192
"3416","yedP","b1955",816
"3417","yedR","b1963",366
"3418","yedS_1","b1964",486
"3419","yedS_2","b1965",210
"3420","yedS_3","b1966",405
"3421","yedV","b1968",1359
"3422","yedW","b1969",672
"3423","yedX","b1970",414
"3424","yeeA","b2008",1059
"3425","yeeD","b2012",228
"3426","yeeE","b2013",1059
"3427","yeeJ","b1978",7104
"3428","yeeL_1","b1980",705
"3429","yeeL_2","b1979",327
"3430","yeeN","b1983",717
"3431","yeeO","b1985",1644
"3432","yeeP","b1999",426
"3433","yeeR","b2001",1533
"3434","yeeS","b2002",447
"3435","yeeT","b2003",222
"3436","yeeW","b2006",195
"3437","yeeX","b2007",330
"3438","yeeY","b2015",930
"3439","yeeZ","b2016",825
"3440","yefM","b2017",252
"3441","yegD","b2069",1353
"3442","yegH","b2063",1584
"3443","yegI","b2070",1947
"3444","yegJ","b2071",462
"3445","yegK","b2072",762
"3446","yegL","b2073",660
"3447","yegP","b2080",333
"3448","yegQ","b2081",1362
"3449","yegR","b2085",318
"3450","yegS","b2086",900
"3451","yegT","b2098",1278
"3452","yegU","b2099",1005
"3453","yegV","b2100",966
"3454","yegW","b2101",747
"3455","yegX","b2102",819
"3456","yegZ","b2083",219
"3457","yehA","b2108",1035
"3458","yehB","b2109",2481
"3459","yehC","b2110",720
"3460","yehD","b2111",543
"3461","yehE","b2112",282
"3462","yehI","b2118",3633
"3463","yehK","b4541",318
"3464","yehL","b2119",1089
"3465","yehM","b2120",2280
"3466","yehP","b2121",1137
"3467","yehQ","b2122",1845
"3468","yehR","b2123",462
"3469","yehS","b2124",471
"3470","yehT","b2125",720
"3471","yehU","b2126",1686
"3472","yehW","b2128",732
"3473","yehX","b2129",927
"3474","yehY","b2130",1158
"3475","yeiB","b2152",1158
"3476","yeiE","b2157",882
"3477","yeiG","b2154",837
"3478","yeiH","b2158",1050
"3479","yeiI","b2160",1089
"3480","yeiL","b2163",660
"3481","yeiP","b2171",573
"3482","yeiQ","b2172",1467
"3483","yeiR","b2173",987
"3484","yeiS","b2145",240
"3485","yeiW","b4502",255
"3486","yejA","b2177",1815
"3487","yejB","b2178",1095
"3488","yejE","b2179",1026
"3489","yejF","b2180",1590
"3490","yejG","b2181",345
"3491","yejK","b2186",1008
"3492","yejL","b2187",228
"3493","yejM","b2188",1761
"3494","yejO","b2190",2511
"3495","yfaA","b2230",1689
"3496","yfaD","b2244",900
"3497","yfaE","b2236",255
"3498","yfaH","b2238",207
"3499","yfaL","b2233",3753
"3500","yfaP","b2225",777
"3501","yfaQ","b2226",1650
"3502","yfaS_1","b2228",4104
"3503","yfaS_2","b2227",486
"3504","yfaT","b2229",624
"3505","yfaU","b2245",804
"3506","yfaV","b2246",1290
"3507","yfaW","b2247",1218
"3508","yfaX","b2248",783
"3509","yfaY","b2249",1203
"3510","yfaZ","b2250",543
"3511","yfbK","b2270",1728
"3512","yfbL","b2271",972
"3513","yfbM","b2272",504
"3514","yfbN","b2273",717
"3515","yfbO","b2274",477
"3516","yfbP","b2275",849
"3517","yfbR","b2291",600
"3518","yfbS","b2292",1833
"3519","yfbT","b2293",651
"3520","yfbU","b2294",495
"3521","yfbV","b2295",456
"3522","yfcA","b2327",810
"3523","yfcC","b2298",1521
"3524","yfcD","b2299",543
"3525","yfcE","b2300",555
"3526","yfcF","b2301",645
"3527","yfcG","b2302",648
"3528","yfcH","b2304",894
"3529","yfcI","b2305",891
"3530","yfcJ","b2322",1179
"3531","yfcL","b2325",279
"3532","yfcO","b2332",822
"3533","yfcP","b2333",540
"3534","yfcQ","b2334",489
"3535","yfcR","b2335",513
"3536","yfcS","b2336",753
"3537","yfcT","b2337",897
"3538","yfcU","b2338",1737
"3539","yfcV","b2339",564
"3540","yfcZ","b2343",285
"3541","yfdC","b2347",933
"3542","yfdE","b2371",1146
"3543","yfdF","b2345",1059
"3544","yfdG","b2350",363
"3545","yfdH","b2351",921
"3546","yfdI","b2352",1332
"3547","yfdK","b2354",441
"3548","yfdL","b2355",519
"3549","yfdM","b2356",276
"3550","yfdN","b2357",495
"3551","yfdO","b2358",369
"3552","yfdP","b2359",447
"3553","yfdQ","b2360",825
"3554","yfdR","b2361",537
"3555","yfdS","b2362",363
"3556","yfdT","b2363",306
"3557","yfdV","b2372",945
"3558","yfdX","b2375",636
"3559","yfdY","b2377",243
"3560","yfeC","b2398",345
"3561","yfeD","b2399",393
"3562","yfeH","b2410",999
"3563","yfeK","b2419",375
"3564","yfeN","b2408",765
"3565","yfeO","b2389",1257
"3566","yfeR","b2409",927
"3567","yfeS","b2420",735
"3568","yfeW","b2430",1305
"3569","yfeX","b2431",900
"3570","yfeY","b2432",576
"3571","yfeZ","b2433",450
"3572","yffB","b2471",357
"3573","yffL","b2443",642
"3574","yffM","b2444",246
"3575","yffN","b2445",384
"3576","yffO","b2446",417
"3577","yffP","b2447",594
"3578","yffQ","b2448",393
"3579","yffR","b2449",393
"3580","yffS","b2450",840
"3581","yfgD","b2495",360
"3582","yfgG","b2504",192
"3583","yfgH","b2505",519
"3584","yfgI","b2506",540
"3585","yfgJ","b2510",216
"3586","yfgM","b2513",621
"3587","yfgO","b2493",1062
"3588","yfhG","b2555",714
"3589","yfhH","b2561",849
"3590","yfhL","b2562",261
"3591","yfhM","b2520",4962
"3592","yfhR","b2534",882
"3593","yfiB","b2605",483
"3594","yfiC","b2575",738
"3595","yfiE","b2577",882
"3596","yfiF","b2581",1038
"3597","yfiH","b2593",732
"3598","yfiL","b2602",366
"3599","yfiM","b2586",273
"3600","yfiP","b2583",699
"3601","yfiR","b2603",519
"3602","yfjD","b4461",1287
"3603","yfjH","b2623",957
"3604","yfjI","b2625",1410
"3605","yfjJ","b2626",627
"3606","yfjM","b2629",264
"3607","yfjP","b2632",864
"3608","yfjQ","b2633",822
"3609","yfjR","b2634",702
"3610","yfjS","b2636",444
"3611","yfjT","b2637",468
"3612","yfjU","b2638",315
"3613","yfjW","b2642",1704
"3614","yfjX","b2643",459
"3615","yfjY","b2644",483
"3616","yfjZ","b2645",318
"3617","ygaC","b2671",345
"3618","ygaH","b2683",336
"3619","ygaM","b2672",330
"3620","ygaP","b2668",525
"3621","ygaQ","b4462",2253
"3622","ygaU","b2665",450
"3623","ygaV","b2667",300
"3624","ygaX","b2680",267
"3625","ygaY","b2681",882
"3626","ygaZ","b2682",738
"3627","ygbA","b2732",354
"3628","ygbE","b2749",324
"3629","ygbI","b2735",798
"3630","ygbJ","b2736",909
"3631","ygbK","b2737",1167
"3632","ygbL","b2738",639
"3633","ygbM","b2739",777
"3634","ygbN","b2740",1365
"3635","ygcE","b2776",1479
"3636","ygcG","b2778",873
"3637","ygcN","b2766",1272
"3638","ygcO","b2767",261
"3639","ygcP","b2768",576
"3640","ygcQ","b2769",861
"3641","ygcR","b2770",780
"3642","ygcS","b2771",1338
"3643","ygcU","b4463",1455
"3644","ygcW","b2774",786
"3645","ygdB","b2824",408
"3646","ygdD","b2807",396
"3647","ygdG","b2798",846
"3648","ygdH","b2795",1365
"3649","ygdI","b2809",228
"3650","ygdQ","b2832",714
"3651","ygdR","b2833",219
"3652","ygdT","b4610",147
"3653","ygeA","b2840",693
"3654","ygeF","b2850",447
"3655","ygeG","b2851",492
"3656","ygeH","b2852",1377
"3657","ygeI","b2853",219
"3658","ygeK","b2855",444
"3659","ygeL","b2856",156
"3660","ygeM","b2857",432
"3661","ygeN","b2858",273
"3662","ygeO","b2859",426
"3663","ygeP","b2862",300
"3664","ygeQ","b2863",795
"3665","ygeR","b2865",756
"3666","ygeV","b2869",1779
"3667","ygeW","b2870",1191
"3668","ygeX","b2871",1197
"3669","ygeY","b2872",1212
"3670","ygfB","b2909",579
"3671","ygfF","b2902",744
"3672","ygfI","b2921",897
"3673","ygfK","b2878",3099
"3674","ygfM","b2880",780
"3675","ygfS","b2886",489
"3676","ygfT","b2887",1920
"3677","ygfZ","b2898",981
"3678","yggC","b2928",714
"3679","yggD","b2929",510
"3680","yggE","b2922",741
"3681","yggF","b2930",966
"3682","yggI","b2944",498
"3683","yggL","b2959",327
"3684","yggM","b2956",1008
"3685","yggN","b2958",720
"3686","yggP","b4465",1278
"3687","yggR","b2950",981
"3688","yggS","b2951",705
"3689","yggT","b2952",567
"3690","yggU","b2953",291
"3691","yggW","b2955",1137
"3692","yggX","b2962",276
"3693","yghA","b3003",885
"3694","yghB","b3009",660
"3695","yghD","b2968",537
"3696","yghE","b2969",861
"3697","yghF","b2970",867
"3698","yghG","b2971",411
"3699","yghJ","b4466",4563
"3700","yghO","b2981",1173
"3701","yghQ","b2983",1068
"3702","yghR","b2984",759
"3703","yghS","b2985",714
"3704","yghT","b2986",693
"3705","yghU","b2989",867
"3706","yghW","b2998",288
"3707","yghX_1","b2999",411
"3708","yghX_2","b3000",354
"3709","yghZ","b3001",1041
"3710","ygiA","b3036",261
"3711","ygiB","b3037",576
"3712","ygiC","b3038",1161
"3713","ygiD","b3039",816
"3714","ygiF","b3054",1302
"3715","ygiH","b3059",618
"3716","ygiL","b3043",552
"3717","ygiM","b3055",621
"3718","ygiN","b3029",315
"3719","ygiQ","b4469",2220
"3720","ygiS","b3020",1608
"3721","ygiV","b3023",483
"3722","ygiW","b3024",393
"3723","ygiZ","b3027",333
"3724","ygjH","b3074",333
"3725","ygjI","b3078",1434
"3726","ygjJ","b3079",1071
"3727","ygjK","b3080",2352
"3728","ygjP","b3085",504
"3729","ygjQ","b3086",693
"3730","ygjR","b3087",1005
"3731","ygjV","b3090",552
"3732","yhaB","b3120",540
"3733","yhaC","b3121",1188
"3734","yhaH","b3103",366
"3735","yhaI","b3104",357
"3736","yhaJ","b3105",897
"3737","yhaK","b3106",702
"3738","yhaL","b3107",165
"3739","yhaM","b4470",1311
"3740","yhaO","b3110",1269
"3741","yhaV","b3130",465
"3742","yhbE","b3184",966
"3743","yhbO","b3153",519
"3744","yhbP","b3154",444
"3745","yhbQ","b3155",303
"3746","yhbS","b3156",504
"3747","yhbT","b3157",525
"3748","yhbU","b3158",996
"3749","yhbV","b3159",879
"3750","yhbW","b3160",1008
"3751","yhbX","b3173",1626
"3752","yhbY","b3180",294
"3753","yhcA","b3215",675
"3754","yhcB","b3233",399
"3755","yhcC","b3211",930
"3756","yhcD","b3216",2382
"3757","yhcF","b3219",717
"3758","yhcG","b3220",1128
"3759","yhcH","b3221",465
"3760","yhcN","b3238",264
"3761","yhcO","b3239",273
"3762","yhdE","b3248",594
"3763","yhdH","b3253",975
"3764","yhdJ","b3262",885
"3765","yhdN","b3293",369
"3766","yhdP","b4472",3801
"3767","yhdT","b3257",243
"3768","yhdU","b3263",180
"3769","yhdV","b3267",222
"3770","yhdW","b3268",918
"3771","yhdX","b3269",1182
"3772","yhdY","b3270",1104
"3773","yhdZ","b3271",759
"3774","yheO","b3346",723
"3775","yheS","b3352",1914
"3776","yheT","b3353",1023
"3777","yheU","b3354",219
"3778","yheV","b4551",201
"3779","yhfA","b3356",405
"3780","yhfG","b3362",168
"3781","yhfK","b3358",2103
"3782","yhfL","b3369",168
"3783","yhfS","b3376",1086
"3784","yhfT","b3377",1305
"3785","yhfU","b3378",354
"3786","yhfW","b3380",1227
"3787","yhfX","b3381",1164
"3788","yhfY","b3382",363
"3789","yhfZ","b3383",906
"3790","yhgA","b3411",879
"3791","yhgE","b3402",1725
"3792","yhgF","b3407",2322
"3793","yhgN","b3434",594
"3794","yhhA","b3448",441
"3795","yhhH","b3483",384
"3796","yhhI","b3484",1137
"3797","yhhJ","b3485",1125
"3798","yhhL","b3466",270
"3799","yhhM","b3467",360
"3800","yhhN","b3468",627
"3801","yhhQ","b3471",666
"3802","yhhS","b3473",1218
"3803","yhhT","b3474",1050
"3804","yhhW","b3439",696
"3805","yhhX","b3440",1038
"3806","yhhY","b3441",489
"3807","yhhZ","b3442",1179
"3808","yhiD","b3508",648
"3809","yhiI","b3487",1068
"3810","yhiJ","b3488",1623
"3811","yhiK","b3489",393
"3812","yhiL","b3490",1239
"3813","yhiM","b3491",1053
"3814","yhiN","b3492",1203
"3815","yhiS_1","b3504",783
"3816","yhjA","b3518",1398
"3817","yhjB","b3520",603
"3818","yhjC","b3521",972
"3819","yhjD","b3522",1014
"3820","yhjE","b3523",1323
"3821","yhjG","b3524",2076
"3822","yhjJ","b3527",1497
"3823","yhjR","b3535",189
"3824","yhjV","b3539",1272
"3825","yhjX","b3547",1209
"3826","yhjY","b3548",699
"3827","yiaA","b3562",438
"3828","yiaB","b3563",342
"3829","yiaC","b3550",441
"3830","yiaD","b3552",660
"3831","yiaF","b3554",711
"3832","yiaG","b3555",291
"3833","yiaJ","b3574",849
"3834","yiaK","b3575",999
"3835","yiaL","b3576",468
"3836","yiaM","b3577",474
"3837","yiaN","b3578",1278
"3838","yiaO","b3579",987
"3839","yiaT","b3584",741
"3840","yiaU","b3585",975
"3841","yiaV","b3586",1137
"3842","yiaW","b3587",324
"3843","yiaY","b3589",1152
"3844","yibA","b3594",843
"3845","yibF","b3592",609
"3846","yibG","b3596",462
"3847","yibH","b3597",1137
"3848","yibI","b3598",363
"3849","yibJ","b3595",702
"3850","yibL","b3602",363
"3851","yibN","b3611",432
"3852","yibQ","b3614",960
"3853","yibT","b4554",210
"3854","yibV","b4615",336
"3855","yicC","b3644",864
"3856","yicG","b3646",618
"3857","yicH","b3655",1710
"3858","yicI","b3656",2319
"3859","yicJ","b3657",1383
"3860","yicL","b3660",924
"3861","yicN","b3663",453
"3862","yicR","b3638",669
